tid,vet75x80,citizen,gq,speakeng,sex,steppop,subfam,cbsftype,vet55x64,marst,vetstat,migpuma,statefip,vetother,occ1990,CONDITION
17524,1,9,9,0,0,1,0,0,0,0,8,96,0,0,0,
17525,1,9,9,0,0,1,0,0,0,0,8,96,0,0,0,
17526,1,9,9,0,0,1,0,0,0,0,8,97,0,0,0,
17527,1,9,9,0,0,1,0,0,0,0,8,97,0,0,0,
17528,1,9,9,0,0,1,0,0,0,0,8,98,0,0,0,
17529,1,9,9,0,0,1,0,0,0,0,8,99,0,0,0,
17530,1,9,9,0,0,1,0,0,0,0,8,99,0,0,0,
17531,1,9,9,0,0,1,0,0,0,0,8,100,0,0,0,
17532,1,9,9,0,0,1,0,0,0,0,8,100,0,0,0,
17533,1,9,9,0,0,1,0,0,0,0,8,101,0,0,0,
17534,1,9,9,0,0,1,0,0,0,0,8,101,0,0,0,
17535,1,9,9,0,0,1,0,0,0,0,8,102,0,0,0,
17536,1,9,9,0,0,1,0,0,0,0,8,102,0,0,0,
17537,1,9,9,0,0,1,0,0,0,0,8,103,0,0,0,
17538,1,9,9,0,0,1,0,0,0,0,8,103,0,0,0,
17539,1,9,9,0,0,1,0,0,0,0,8,103,0,0,0,
17540,1,9,9,0,0,1,0,0,0,0,8,103,0,0,0,
17541,1,9,9,0,0,1,0,0,0,0,8,104,0,0,0,
17542,1,9,9,0,0,1,0,0,0,0,8,104,0,0,0,
17543,1,9,9,0,0,1,0,0,0,0,8,104,0,0,0,
17544,1,9,9,0,0,1,0,0,0,0,8,105,0,0,0,
17545,1,9,9,0,0,1,0,0,0,0,8,105,0,0,0,
17546,1,9,9,0,0,1,0,0,0,0,8,106,0,0,0,
17547,1,9,9,0,0,1,0,0,0,0,8,106,0,0,0,
17548,1,9,9,0,0,1,0,0,0,0,8,106,0,0,0,
17549,1,9,9,0,0,1,0,0,0,0,8,107,0,0,0,
17550,1,9,9,0,0,1,0,0,0,0,8,107,0,0,0,
17551,1,9,9,0,0,1,0,0,0,0,8,107,0,0,0,
17552,1,9,9,0,0,1,0,0,0,0,8,107,0,0,0,
17553,1,9,9,0,0,1,0,0,0,0,8,107,0,0,0,
17554,1,9,9,0,0,1,0,0,0,0,8,108,0,0,0,
17555,1,9,9,0,0,1,0,0,0,0,8,108,0,0,0,
17556,1,9,9,0,0,1,0,0,0,0,8,108,0,0,0,
17557,1,9,9,0,0,1,0,0,0,0,8,108,0,0,0,
17558,1,9,9,0,0,1,0,0,0,0,8,108,0,0,0,
17559,1,9,9,0,0,1,0,0,0,0,8,109,0,0,0,
17560,1,9,9,0,0,1,0,0,0,0,8,109,0,0,0,
17561,1,9,9,0,0,1,0,0,0,0,8,112,0,0,0,
17562,1,9,9,0,0,1,0,0,0,0,8,112,0,0,0,
17563,1,9,9,0,0,1,0,0,0,0,8,112,0,0,0,
17564,1,9,9,0,0,1,0,0,0,0,8,112,0,0,0,
17565,1,9,9,0,0,1,0,0,0,0,8,113,0,0,0,
17566,1,9,9,0,0,1,0,0,0,0,8,113,0,0,0,
17567,1,9,9,0,0,1,0,0,0,0,8,114,0,0,0,
17568,1,9,9,0,0,1,0,0,0,0,8,114,0,0,0,
17569,1,9,9,0,0,1,0,0,0,0,8,114,0,0,0,
17570,1,9,9,0,0,1,0,0,0,0,8,114,0,0,0,
17571,1,9,9,0,0,1,0,0,0,0,8,115,0,0,0,
17572,1,9,9,0,0,1,0,0,0,0,8,115,0,0,0,
17573,1,9,9,0,0,1,0,0,0,0,8,117,0,0,0,
17574,1,9,9,0,0,1,0,0,0,0,8,121,0,0,0,
17575,1,9,9,0,0,1,0,0,0,0,8,121,0,0,0,
17576,1,9,9,0,0,1,0,0,0,0,8,123,0,0,0,
17577,1,9,9,0,0,1,0,0,0,0,8,123,0,0,0,
17578,1,9,9,0,0,1,0,0,0,0,8,124,0,0,0,
17579,1,9,9,0,0,1,0,0,0,0,8,124,0,0,0,
17580,1,9,9,0,0,1,0,0,0,0,8,124,0,0,0,
17581,1,9,9,0,0,1,0,0,0,0,8,125,0,0,0,
17582,1,9,9,0,0,1,0,0,0,0,8,125,0,0,0,
17583,1,9,9,0,0,1,0,0,0,0,8,125,0,0,0,
17584,1,9,9,0,0,1,0,0,0,0,8,125,0,0,0,
17585,1,9,9,0,0,1,0,0,0,0,8,126,0,0,0,
17586,1,9,9,0,0,1,0,0,0,0,8,126,0,0,0,
17587,1,9,9,0,0,1,0,0,0,0,8,128,0,0,0,
17588,1,9,9,0,0,1,0,0,0,0,8,128,0,0,0,
17589,1,9,9,0,0,1,0,0,0,0,8,128,0,0,0,
17590,1,9,9,0,0,1,0,0,0,0,8,128,0,0,0,
17591,1,9,9,0,0,1,0,0,0,0,8,128,0,0,0,
17592,1,9,9,0,0,1,0,0,0,0,8,129,0,0,0,
17593,1,9,9,0,0,1,0,0,0,0,8,129,0,0,0,
17594,1,9,9,0,0,1,0,0,0,0,8,129,0,0,0,
17595,1,9,9,0,0,1,0,0,0,0,8,130,0,0,0,
17596,1,9,9,0,0,1,0,0,0,0,8,130,0,0,0,
17597,1,9,9,0,0,1,0,0,0,0,8,131,0,0,0,
17598,1,9,9,0,0,1,0,0,0,0,8,131,0,0,0,
17599,1,9,9,0,0,1,0,0,0,0,8,133,0,0,0,
17600,1,9,9,0,0,1,0,0,0,0,8,133,0,0,0,
17601,1,9,9,0,0,1,0,0,0,0,8,133,0,0,0,
17602,1,9,9,0,0,1,0,0,0,0,8,133,0,0,0,
17603,1,9,9,0,0,1,0,0,0,0,8,134,0,0,0,
17604,1,9,9,0,0,1,0,0,0,0,8,134,0,0,0,
17605,1,9,9,0,0,1,0,0,0,0,8,135,0,0,0,
17606,1,9,9,0,0,1,0,0,0,0,8,135,0,0,0,
17607,1,9,9,0,0,1,0,0,0,0,8,135,0,0,0,
17608,1,9,9,0,0,1,0,0,0,0,8,135,0,0,0,
17609,1,9,9,0,0,1,0,0,0,0,8,136,0,0,0,
17610,1,9,9,0,0,1,0,0,0,0,8,136,0,0,0,
17611,1,9,9,0,0,1,0,0,0,0,8,136,0,0,0,
17612,1,9,9,0,0,1,0,0,0,0,8,137,0,0,0,
17613,1,9,9,0,0,1,0,0,0,0,8,137,0,0,0,
17614,1,9,9,0,0,1,0,0,0,0,8,137,0,0,0,
17615,1,9,9,0,0,1,0,0,0,0,8,137,0,0,0,
17616,1,9,9,0,0,1,0,0,0,0,8,137,0,0,0,
17617,1,9,9,0,0,1,0,0,0,0,8,138,0,0,0,
17618,1,9,9,0,0,1,0,0,0,0,8,138,0,0,0,
17619,1,9,9,0,0,1,0,0,0,0,8,139,0,0,0,
17620,1,9,9,0,0,1,0,0,0,0,8,139,0,0,0,
17621,1,9,9,0,0,1,0,0,0,0,8,140,0,0,0,
17622,1,9,9,0,0,1,0,0,0,0,8,140,0,0,0,
17623,1,9,9,0,0,1,0,0,0,0,8,141,0,0,0,
17624,1,9,9,0,0,1,0,0,0,0,8,141,0,0,0,
17625,1,9,9,0,0,1,0,0,0,0,8,142,0,0,0,
17626,1,9,9,0,0,1,0,0,0,0,8,142,0,0,0,
17627,1,9,9,0,0,1,0,0,0,0,8,144,0,0,0,
17628,1,9,9,0,0,1,0,0,0,0,8,144,0,0,0,
17629,1,9,9,0,0,1,0,0,0,0,8,144,0,0,0,
17630,1,9,9,0,0,1,0,0,0,0,8,144,0,0,0,
17631,1,9,9,0,0,1,0,0,0,0,8,145,0,0,0,
17632,1,9,9,0,0,1,0,0,0,0,8,145,0,0,0,
17633,1,9,9,0,0,1,0,0,0,0,8,145,0,0,0,
17634,1,9,9,0,0,1,0,0,0,0,8,145,0,0,0,
17635,1,9,9,0,0,1,0,0,0,0,8,146,0,0,0,
17636,1,9,9,0,0,1,0,0,0,0,8,146,0,0,0,
17637,1,9,9,0,0,1,0,0,0,0,8,147,0,0,0,
17638,1,9,9,0,0,1,0,0,0,0,8,147,0,0,0,
17639,1,9,9,0,0,1,0,0,0,0,8,148,0,0,0,
17640,1,9,9,0,0,1,0,0,0,0,8,148,0,0,0,
17641,1,9,9,0,0,1,0,0,0,0,8,149,0,0,0,
17642,1,9,9,0,0,1,0,0,0,0,8,149,0,0,0,
17643,1,9,9,0,0,1,0,0,0,0,8,149,0,0,0,
17644,1,9,9,0,0,1,0,0,0,0,8,149,0,0,0,
17645,1,9,9,0,0,1,0,0,0,0,8,149,0,0,0,
17646,1,9,9,0,0,1,0,0,0,0,8,149,0,0,0,
17647,1,9,9,0,0,1,0,0,0,0,8,149,0,0,0,
17648,1,9,9,0,0,1,0,0,0,0,8,149,0,0,0,
17649,1,9,9,0,0,1,0,0,0,0,8,149,0,0,0,
17650,1,9,9,0,0,1,0,0,0,0,8,149,0,0,0,
17651,1,9,9,0,0,1,0,0,0,0,8,149,0,0,0,
17652,1,9,9,0,0,1,0,0,0,0,8,149,0,0,0,
17653,1,9,9,0,0,1,0,0,0,0,8,149,0,0,0,
17654,1,9,9,0,0,1,0,0,0,0,8,151,0,0,0,
17655,1,9,9,0,0,1,0,0,0,0,8,151,0,0,0,
17656,1,9,9,0,0,1,0,0,0,0,8,152,0,0,0,
17657,1,9,9,0,0,1,0,0,0,0,8,152,0,0,0,
17658,1,9,9,0,0,1,0,0,0,0,8,153,0,0,0,
17659,1,9,9,0,0,1,0,0,0,0,8,153,0,0,0,
17660,1,9,9,0,0,1,0,0,0,0,8,154,0,0,0,
17661,1,9,9,0,0,1,0,0,0,0,8,155,0,0,0,
17662,1,9,9,0,0,1,0,0,0,0,8,155,0,0,0,
17663,1,9,9,0,0,1,0,0,0,0,8,155,0,0,0,
17664,1,9,9,0,0,1,0,0,0,0,8,155,0,0,0,
17665,1,9,9,0,0,1,0,0,0,0,8,156,0,0,0,
17666,1,9,9,0,0,1,0,0,0,0,8,156,0,0,0,
